date,actual_price,predicted_price,type
2025-11-06,8337.058,8217.26,historical
2025-11-07,8394.59,8242.182,historical
2025-11-10,8391.24,8273.264,historical
2025-11-11,8366.515,8304.79,historical
2025-11-12,8388.566,8331.251,historical
2025-11-13,8371.999,8354.354,historical
2025-11-14,8370.436,8371.302,historical
2025-11-17,8416.882,8382.576,historical
2025-11-18,8361.926,8393.698,historical
2025-11-19,8406.577,8397.72,historical
2025-11-20,8419.917,8401.482,historical
2025-11-21,8414.352,8405.605,historical
2025-11-24,8570.254,8408.761,historical
2025-11-25,8521.885,8426.55,historical
2025-11-26,8602.13,8446.088,historical
2025-11-27,8545.865,8473.259,historical
2025-11-28,8508.706,8496.539,historical
2025-12-01,8548.788,8511.712,historical
2025-12-02,8617.043,8524.499,historical
2025-12-03,8611.787,8541.084,historical
2025-12-04,8640.196,8557.427,historical
2025-12-05,8632.761,8574.888,historical
2025-12-08,8710.695,8590.367,historical
2025-12-09,8657.179,8610.99,historical
2025-12-10,8700.924,8626.865,historical
2025-12-11,8620.481,8642.933,historical
2025-12-12,8660.499,8648.97,historical
2025-12-15,8649.662,8652.531,historical
2025-12-16,8686.469,8652.608,historical
2025-12-17,8677.345,8654.097,historical
2025-12-18,8618.195,8654.978,historical
2025-12-19,8609.551,8649.262,historical
2025-12-22,8645.844,8639.265,historical
2025-12-23,8584.782,8631.075,historical
2025-12-24,8537.911,8618.186,historical
2025-12-25,,8599.044,future
2025-12-26,,8584.133,future
2025-12-27,,8571.275,future
2025-12-28,,8559.667,future
2025-12-29,,8548.833,future
2025-12-30,,8538.489,future
2025-12-31,,8528.472,future
